"","X2017.12","X2018.12","X2019.12"
"매출액",1556,1712,2305
"매출원가",1173,1207,1651
"매출총이익",384,505,654
"판매비와관리비",360,436,573
"인건비",92,115,139
"유무형자산상각비",20,21,47
"연구개발비",20,23,29
"광고선전비",49,29,33
"판매비",99,124,159
"관리비",79,122,166
"기타원가성비용",NA,NA,NA
"기타",2,2,NA
"영업이익",24,69,81
"영업이익(발표기준)",24,69,81
"금융수익",13,15,19
"이자수익",13,10,10
"배당금수익",NA,NA,NA
"외환이익",NA,0,1
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,5,8
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,0,NA
"금융원가",0,0,8
"이자비용",0,0,3
"외환손실",NA,0,1
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,4
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",5,1,2
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,0,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",4,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",63,6,3
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",1,NA,NA
"자산평가손실",NA,NA,NA
"자산손상차손",61,5,1
"기타대손상각비",NA,1,2
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-3,1,2
"지분법손익",-3,1,2
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",-24,79,94
"법인세비용",10,19,21
"계속영업이익",-34,59,73
"중단영업이익",NA,NA,NA
"당기순이익",-34,59,73
"자산",1395,2220,2339
"유동자산",1200,1364,1464
"재고자산",3,3,3
"유동생물자산",NA,NA,NA
"유동금융자산",350,510,603
"매출채권및기타유동채권",356,517,594
"당기법인세자산",NA,NA,NA
"계약자산",NA,0,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",9,5,10
"현금및현금성자산",481,329,254
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",195,856,875
"유형자산",11,36,45
"무형자산",20,624,608
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",3,15,4
"관계기업등지분관련투자자산",114,114,94
"장기매출채권및기타비유동채권",8,20,12
"이연법인세자산",30,47,40
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",8,NA,72
"기타금융업자산",NA,NA,NA
"부채",485,766,812
"유동부채",481,724,712
"단기사채",NA,NA,NA
"단기차입금",NA,NA,NA
"유동성장기부채",NA,NA,NA
"유동금융부채",NA,NA,10
"매입채무및기타유동채무",417,617,620
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",4,2,1
"당기법인세부채",8,16,10
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",52,90,71
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",4,41,100
"사채",NA,NA,NA
"장기차입금",NA,NA,NA
"비유동금융부채",NA,NA,64
"장기매입채무및기타비유동채무",2,2,2
"비유동종업원급여충당부채",2,10,7
"기타장기충당부채",NA,3,3
"이연법인세부채",0,26,24
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",910,1454,1527
"자본금",246,291,291
"신종자본증권",NA,NA,NA
"자본잉여금",853,1318,1318
"기타자본",5,-18,-18
"기타포괄손익누계액",1,0,1
"이익잉여금(결손금)",-195,-137,-65
"영업활동으로인한현금흐름",79,34,29
"당기순손익",-34,59,73
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",110,53,87
"퇴직급여",4,5,8
"종업원급여",NA,NA,NA
"주식보상비",NA,NA,NA
"감가상각비",7,10,23
"무형자산상각비",24,11,25
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,1,2
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",3,1,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",17,16,20
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,2,2
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",17,-60,-98
"자산의감소(증가)",-40,-70,-77
"부채의증가(감소)",57,9,-20
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",76,35,42
"기타영업활동으로인한현금흐름",3,-2,-13
"이자수입",11,9,10
"이자지급(-)",NA,NA,NA
"배당금수입",NA,NA,NA
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",-8,-11,-23
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-150,-163,-94
"투자활동으로인한현금유입액",499,781,720
"유동금융자산의감소",349,754,705
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",150,NA,NA
"장기대여금의감소",NA,NA,NA
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,15
"유형자산의감소",0,0,0
"무형자산의감소",NA,NA,NA
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",NA,27,NA
"(투자활동으로인한현금유출액)",649,944,814
"유동금융자산의증가",549,900,783
"장기금융상품의증가",NA,NA,NA
"매도가능금융자산의증가",NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",NA,NA,NA
"기타비유동금융자산의증가",NA,NA,NA
"관계기업등지분관련투자자산의증가",73,NA,NA
"유형자산의증가",5,24,20
"무형자산의증가",20,8,11
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,NA,NA
"기타투자활동으로인한현금유출액",2,12,0
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",267,-23,-10
"재무활동으로인한현금유입액",267,NA,NA
"사채의증가",NA,NA,NA
"차입금의증가",NA,NA,NA
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",NA,NA,NA
"기타부채의증가",NA,NA,NA
"유상증자",267,NA,NA
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",NA,NA,NA
"자본구성항목의증가",NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA
"(재무활동으로인한현금유출액)",NA,23,10
"사채의감소",NA,NA,NA
"차입금의감소",NA,NA,NA
"미지급금의감소",NA,NA,NA
"유동성장기부채의감소",NA,NA,NA
"기타금융부채의감소",NA,NA,10
"기타부채의감소",NA,NA,NA
"유상감자",NA,NA,NA
"자기주식의취득",NA,23,NA
"자본구성항목의감소",NA,NA,NA
"기타재무활동으로인한현금유출액",NA,0,NA
"기타재무활동으로인한현금흐름",NA,NA,NA
"영업투자재무활동기타현금흐름",NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA
"환율변동효과",NA,NA,NA
"현금및현금성자산의증가",197,-153,-75
"기초현금및현금성자산",285,481,329
"기말현금및현금성자산",481,329,254
