"","X2017.12","X2018.12","X2019.12"
"매출액",12078,10888,9389
"매출원가",10514,9478,8001
"매출총이익",1564,1410,1388
"판매비와관리비",1287,1321,1271
"인건비",430,425,392
"유무형자산상각비",26,20,40
"연구개발비",20,21,22
"광고선전비",20,14,19
"판매비",61,108,118
"관리비",679,682,642
"기타원가성비용",NA,NA,NA
"기타",52,51,39
"영업이익",277,89,117
"영업이익(발표기준)",277,89,117
"금융수익",175,149,145
"이자수익",79,78,57
"배당금수익",1,2,6
"외환이익",92,55,75
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,9,0
"금융자산평가이익",1,5,5
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",1,1,1
"기타금융수익",NA,NA,NA
"금융원가",237,191,236
"이자비용",117,130,130
"외환손실",106,54,86
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",0,NA,NA
"금융자산평가손실",NA,6,1
"금융자산손상차손",11,NA,NA
"파생상품손실",1,1,7
"기타금융원가",1,1,12
"기타수익",164,213,571
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",8,23,455
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",11,12,5
"로열티수익",NA,NA,NA
"수수료수익",37,15,32
"대손충당금환입",NA,NA,NA
"충당부채환입액",35,26,41
"기타비용",335,210,436
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",1,15,2
"자산평가손실",NA,NA,NA
"자산손상차손",118,67,312
"기타대손상각비",18,99,80
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",23,-13,-29
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
