"","X2017.12","X2018.12","X2019.12"
"매출액",2213,1142,1104
"매출원가",2114,1132,987
"매출총이익",100,10,117
"판매비와관리비",66,63,45
"인건비",26,25,21
"유무형자산상각비",2,2,2
"연구개발비",3,4,3
"광고선전비",NA,NA,NA
"판매비",9,4,4
"관리비",21,15,10
"기타원가성비용",NA,NA,NA
"기타",4,14,5
"영업이익",34,-53,72
"영업이익(발표기준)",34,-53,72
"금융수익",1,4,4
"이자수익",1,4,2
"배당금수익",NA,1,1
"외환이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",5,10,12
"이자비용",5,10,12
"외환손실",NA,NA,NA
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",31,34,37
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,0,1
"자산처분(폐기)이익",12,5,3
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",47,25,19
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",16,0,NA
"자산평가손실",NA,NA,NA
"자산손상차손",3,NA,0
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",13,-50,83
"법인세비용",14,11,7
"계속영업이익",0,-60,76
"중단영업이익",NA,NA,NA
"당기순이익",0,-60,76
"지배주주순이익",0,-60,76
"비지배주주순이익",NA,NA,NA
"자산",1461,1353,1286
"유동자산",804,719,665
"재고자산",114,104,50
"유동생물자산",NA,NA,NA
"유동금융자산",250,219,254
"매출채권및기타유동채권",152,203,105
"당기법인세자산",NA,NA,NA
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",14,11,8
"현금및현금성자산",274,183,248
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",657,634,621
"유형자산",368,346,307
"무형자산",6,6,5
"비유동생물자산",NA,NA,NA
"투자부동산",260,257,282
"장기금융자산",1,2,0
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",0,0,0
"이연법인세자산",8,8,2
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",14,14,24
"기타금융업자산",NA,NA,NA
"부채",514,488,346
"유동부채",208,215,172
"단기사채",NA,NA,NA
"단기차입금",NA,NA,NA
"유동성장기부채",42,73,115
"유동금융부채",NA,NA,0
"매입채무및기타유동채무",151,134,54
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",12,7,1
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",2,1,1
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",306,273,174
"사채",NA,NA,NA
"장기차입금",290,258,148
"비유동금융부채",0,NA,2
"장기매입채무및기타비유동채무",9,12,13
"비유동종업원급여충당부채",7,3,3
"기타장기충당부채",NA,NA,7
"이연법인세부채",NA,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",947,865,940
"지배기업주주지분",947,865,940
"자본금",80,80,80
"신종자본증권",NA,NA,NA
"자본잉여금",97,97,97
"기타자본",-27,-27,-27
"기타포괄손익누계액",-4,-13,1
"이익잉여금(결손금)",802,728,788
"비지배주주지분",NA,NA,NA
"영업활동으로인한현금흐름",37,-55,193
"당기순손익",NA,NA,NA
"법인세비용차감전계속사업이익",13,-50,83
"현금유출이없는비용등가산",107,148,78
"퇴직급여",10,6,4
"종업원급여",NA,NA,NA
"주식보상비",NA,0,0
"감가상각비",61,55,49
"무형자산상각비",0,1,2
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,NA
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",17,13,80
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-48,-118,131
"자산의감소(증가)",-100,-103,229
"부채의증가(감소)",52,-16,-98
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",55,-34,212
"기타영업활동으로인한현금흐름",-18,-21,-19
"이자수입",1,4,2
"이자지급(-)",-4,-10,-12
"배당금수입",NA,1,1
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",-15,-15,-10
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-156,-12,-38
"투자활동으로인한현금유입액",2078,1017,660
"유동금융자산의감소",NA,1014,660
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",2073,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",NA,NA,NA
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA
"유형자산의감소",5,3,NA
"무형자산의감소",NA,NA,NA
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",NA,NA,0
"(투자활동으로인한현금유출액)",2234,1029,698
"유동금융자산의증가",NA,990,671
"장기금융상품의증가",NA,NA,NA
"매도가능금융자산의증가",1866,NA,NA
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",NA,NA,NA
"기타비유동금융자산의증가",NA,NA,NA
"관계기업등지분관련투자자산의증가",NA,NA,NA
"유형자산의증가",165,37,27
"무형자산의증가",4,2,1
"생물자산의증가",NA,NA,NA
"투자부동산의증가",199,NA,NA
"기타투자활동으로인한현금유출액",0,0,NA
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",277,-26,-90
"재무활동으로인한현금유입액",300,35,1
"사채의증가",NA,NA,NA
"차입금의증가",288,32,NA
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",12,3,1
"기타부채의증가",NA,NA,NA
"유상증자",NA,NA,NA
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",NA,NA,NA
"자본구성항목의증가",NA,NA,NA
